// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.5
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Vel_X	Vel_Y	Vel_Z
17164		-2.255304	2.869424	9.181108	0.868152	0.182809	0.022745	-0.460842			
17165		-2.275146	2.989453	9.114426	0.860034	0.183142	0.022106	-0.475722			
17166		-2.322249	2.813967	8.981816	0.851734	0.183180	0.021483	-0.490441			
17167		-2.404468	2.847318	9.056598	0.843166	0.183368	0.020547	-0.505000			
17168		-2.507312	2.829798	9.140516	0.834391	0.183245	0.019606	-0.519449			
17169		-2.561820	2.871284	9.182471	0.825393	0.182818	0.018618	-0.533814			
17170		-2.541442	2.823749	9.086116	0.816220	0.182136	0.017634	-0.547996			
17171		-2.580054	2.708761	9.057689	0.806810	0.181297	0.016847	-0.562054			
17172		-2.545099	2.733965	9.096348	0.797144	0.181062	0.015926	-0.575781			
17173		-2.556268	2.714706	9.074760	0.787293	0.181074	0.014850	-0.589204			
17174		-2.565506	2.793450	9.013959	0.777386	0.181245	0.013647	-0.602192			
17175		-2.583844	2.806019	9.078289	0.767388	0.181430	0.012712	-0.614848			
17176		-2.638757	2.825356	9.138372	0.757444	0.181218	0.012153	-0.627129			
17177		-2.673449	2.770550	9.026031	0.747581	0.180756	0.011763	-0.638993			
17178		-2.720680	2.795771	9.017491	0.737803	0.179812	0.011585	-0.650523			
17179		-2.695887	2.746054	9.028423	0.728204	0.178022	0.012238	-0.661722			
17180		-2.762991	2.469045	9.049977	0.718686	0.175908	0.013216	-0.672586			
17181		-2.765479	2.389230	8.991877	0.709184	0.174186	0.013647	-0.683030			
17182		-2.837833	2.435464	9.040286	0.699762	0.172800	0.013382	-0.693033			
17183		-2.723654	2.495933	9.053709	0.690489	0.171455	0.012807	-0.702612			
17184		-2.688867	2.637163	9.084435	0.681587	0.169980	0.012443	-0.711612			
17185		-2.673833	2.668416	9.157005	0.673256	0.167902	0.012606	-0.719984			
17186		-2.630151	2.500157	9.064645	0.665469	0.165525	0.013104	-0.727723			
17187		-2.609392	2.459939	9.032443	0.658171	0.163084	0.013807	-0.734863			
17188		-2.549372	2.254107	9.065510	0.651229	0.160907	0.014474	-0.741485			
17189		-2.567647	2.168476	9.137623	0.644679	0.159171	0.014907	-0.747550			
17190		-2.589743	2.023299	9.077143	0.638454	0.157731	0.015204	-0.753170			
17191		-2.554598	2.000581	9.130236	0.632413	0.156773	0.015058	-0.758452			
17192		-2.543951	1.980330	9.261846	0.626615	0.155818	0.015042	-0.763445			
17193		-2.526895	1.922726	9.303376	0.621082	0.154609	0.015333	-0.768191			
17194		-2.555553	1.862575	9.310653	0.615809	0.153375	0.015780	-0.772662			
17195		-2.536203	1.782555	9.307662	0.610791	0.152174	0.015693	-0.776873			
17196		-2.471940	1.790803	9.267418	0.606027	0.151002	0.015426	-0.780827			
17197		-2.442715	1.774365	9.305705	0.601447	0.149972	0.015363	-0.784560			
17198		-2.471339	1.623863	9.376986	0.597063	0.148891	0.015331	-0.788107			
17199		-2.424982	1.582271	9.244924	0.592821	0.148018	0.014918	-0.791474			
17200		-2.430976	1.681440	9.323617	0.588643	0.147223	0.014733	-0.794738			
17201		-2.419611	1.590333	9.266814	0.584598	0.146411	0.015169	-0.797859			
17202		-2.429157	1.494804	9.218859	0.580622	0.145960	0.015205	-0.800839			
17203		-2.380691	1.549765	9.239952	0.576675	0.145846	0.014962	-0.803711			
17204		-2.378228	1.475812	9.236231	0.572869	0.145986	0.014580	-0.806410			
17205		-2.390374	1.614778	9.288285	0.569173	0.146155	0.014293	-0.808998			
17206		-2.417739	1.640310	9.337911	0.565638	0.145910	0.014990	-0.811504			
17207		-2.442408	1.552665	9.312972	0.562309	0.145443	0.016220	-0.813875			
17208		-2.493601	1.332183	9.249488	0.559158	0.145240	0.016964	-0.816064			
17209		-2.519692	1.428501	9.299630	0.556042	0.145504	0.016880	-0.818145			
17210		-2.513993	1.523992	9.319875	0.553135	0.145695	0.017160	-0.820073			
17211		-2.485635	1.479209	9.263528	0.550482	0.145846	0.017935	-0.821813			
17212		-2.597545	1.331525	9.286512	0.547924	0.146255	0.018484	-0.823436			
17213		-2.549874	1.394312	9.327547	0.545560	0.146723	0.018899	-0.824912			
17214		-2.584056	1.424998	9.374408	0.543398	0.147094	0.019169	-0.826265			
17215		-2.561545	1.433120	9.351629	0.541465	0.147466	0.019414	-0.827461			
17216		-2.589083	1.419707	9.456477	0.539773	0.147921	0.019344	-0.828487			
17217		-2.621750	1.446983	9.446771	0.538436	0.148219	0.019117	-0.829309			
17218		-2.546937	1.426155	9.321779	0.537306	0.148140	0.019537	-0.830045			
17219		-2.625522	1.290761	9.365526	0.536248	0.148092	0.020385	-0.830717			
17220		-2.627786	1.162392	9.366220	0.535194	0.148041	0.021233	-0.831385			
17221		-2.583594	1.158037	9.355093	0.534085	0.148188	0.021711	-0.832059			
17222		-2.596350	1.143377	9.274651	0.532920	0.148569	0.021947	-0.832732			
