// Start Time: Unknown
// Update Rate: 40.0Hz
// Filter Profile: human (46.1)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 4.3.5
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Quat_q0	Quat_q1	Quat_q2	Quat_q3	Vel_X	Vel_Y	Vel_Z
17200		0.984674	0.080333	9.802390	0.997983	0.008233	-0.050196	0.037967			
17201		1.042339	0.069977	9.725440	0.997910	0.007584	-0.051604	0.038159			
17202		1.037686	0.084779	9.771406	0.997831	0.007260	-0.053019	0.038346			
17203		1.071403	0.065865	9.695487	0.997760	0.007148	-0.054243	0.038497			
17204		1.032584	0.092145	9.738347	0.997685	0.006870	-0.055549	0.038614			
17205		1.101568	0.062504	9.694509	0.997617	0.006541	-0.056745	0.038698			
17206		1.171125	0.018642	9.747958	0.997571	0.006471	-0.057624	0.038587			
17207		1.164306	0.008294	9.728846	0.997539	0.006607	-0.058279	0.038409			
17208		1.091086	0.046242	9.758180	0.997496	0.006928	-0.059122	0.038197			
17209		1.244688	0.190707	9.707418	0.997448	0.007257	-0.059944	0.038092			
17210		1.190560	0.176710	9.746137	0.997406	0.007687	-0.060585	0.038089			
17211		1.166298	0.082003	9.758901	0.997360	0.008060	-0.061355	0.037985			
17212		1.234618	0.096125	9.737098	0.997315	0.008640	-0.062094	0.037857			
17213		1.210709	0.183287	9.701901	0.997268	0.009323	-0.062772	0.037817			
17214		1.311971	0.214919	9.704654	0.997226	0.010000	-0.063271	0.037909			
17215		1.220166	0.178155	9.717592	0.997194	0.010475	-0.063625	0.038023			
17216		1.277683	0.169675	9.684440	0.997168	0.010746	-0.063948	0.038097			
17217		1.223560	0.224653	9.791964	0.997155	0.010959	-0.064086	0.038146			
17218		1.272824	0.157760	9.803988	0.997147	0.010949	-0.064255	0.038071			
17219		1.286936	0.099214	9.794003	0.997133	0.011199	-0.064448	0.038027			
17220		1.244914	0.186283	9.721920	0.997114	0.011712	-0.064650	0.038047			
17221		1.224406	0.197931	9.756365	0.997094	0.012301	-0.064843	0.038054			
17222		1.306668	0.189736	9.737785	0.997059	0.012708	-0.065278	0.038099			
17223		1.273389	0.240699	9.719671	0.997037	0.013197	-0.065477	0.038144			
17224		1.206405	0.198718	9.757809	0.997004	0.013641	-0.065864	0.038183			
17225		1.322840	0.193670	9.763045	0.996968	0.013996	-0.066340	0.038183			
17226		1.291184	0.231983	9.723407	0.996943	0.014366	-0.066660	0.038142			
17227		1.282496	0.232600	9.765101	0.996930	0.014511	-0.066890	0.038034			
17228		1.321533	0.207456	9.734035	0.996905	0.014707	-0.067265	0.037947			
